"Booking No","Ticket Type","Ticket Count","Ticket Amount","Processing Fee","Ticket Fee","Platform Fee","Agent Fee","Discount Amount","Grand Total","Payment Status","Booking Status","Event Name","Organizer","Venue","Created Date","Stripe Revenue","Eventox Revenue","Organizer Revenue","Refund Amount","Actions"
"EV1759394555219C95NOD","General Admission","3","84.98","2.29","1.5","0","0","0","88.77","paid","confirmed"," Christchurch Kondattam 2025","Radio Lemon Live New Zealand & Green Estate Digital and Property management","","2025-10-02T08:42:35.253Z","2.7","1.09","84.98","0",""
"EV17594351229878JGCUY","Hamilton Samajam Memeber Special","4","109.98","2.97","2","0","0","0","114.95","paid","confirmed","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-02T19:58:43.026Z","3.4","1.57","109.98","0",""
"EV1759445825166TRP3VW","Hamilton Samajam Memeber Special","3","84.98","2.29","1.5","0","0","0","88.77","paid","confirmed","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-02T22:57:05.174Z","2.7","1.09","84.98","0",""
"EV17594532450679HRRTU","General Admission","2","30","0.81","1","0","0","0","31.81","paid","confirmed","Kaka & Simran Dhadli Live In New Plymouth","Taranaki Indian Association","","2025-10-03T01:00:45.072Z","1.16","0.65","30","0",""
"EV1759471155528EUSPXI","General Admission","2","30","0.81","1","0","0","0","31.81","expired","expired","Kaka & Simran Dhadli Live In New Plymouth","Taranaki Indian Association","","2025-10-03T05:59:15.539Z","1.16","0.65","30","0",""
"EV1759556050514HTRNHC","General Admission","2","54.99","1.48","1","0","0","0","57.47","expired","expired"," Christchurch Kondattam 2025","Radio Lemon Live New Zealand & Green Estate Digital and Property management","","2025-10-04T05:34:10.555Z","1.85","0.63","54.99","0",""
"EV1759556052141DJMWON","General Admission","2","54.99","1.48","1","0","0","0","57.47","expired","expired"," Christchurch Kondattam 2025","Radio Lemon Live New Zealand & Green Estate Digital and Property management","","2025-10-04T05:34:12.146Z","1.85","0.63","54.99","0",""
"EV1759556185283Q6VU63","General Admission","2","54.99","1.48","1","0","0","0","57.47","paid","confirmed"," Christchurch Kondattam 2025","Radio Lemon Live New Zealand & Green Estate Digital and Property management","","2025-10-04T05:36:25.316Z","1.85","0.63","54.99","0",""
"EV1759556587070DP6BQR","General Admission","1","29.99","0.81","0.5","0","0","0","31.3","paid","confirmed"," Christchurch Kondattam 2025","Radio Lemon Live New Zealand & Green Estate Digital and Property management","","2025-10-04T05:43:07.098Z","1.15","0.16","29.99","0",""
"EV175956425117852FF4W","Groups","6","348","9.4","10.8","0","0","0","368.2","paid","confirmed","Moksha With Srinivas ""Sangamam"" New Zealand Tour 2025","Moksha Base & Shelz Media","","2025-10-04T07:50:51.185Z","10.24","9.96","348","0",""
"EV1759564849821B91QT6","Adult","2","75","2.03","3.6","0","0","0","80.63","paid","confirmed","Moksha With Srinivas ""Sangamam"" New Zealand Tour 2025","Moksha Base & Shelz Media","","2025-10-04T08:00:49.853Z","2.48","3.15","75","0",""
"EV17596361193436UL0JI","Early Bird","1","24","0.65","0.5","0","0","0","25.15","paid","confirmed","Pakka Local NZ First Anniversary  SIX EIGHT LIVE","PakkaLocal NZ","","2025-10-05T03:48:39.366Z","0.98","0.17","24","0",""
"EV1759639671139EQIE59","General Admission","4","60","1.62","2","0","0","0","63.62","paid","confirmed","Kaka & Simran Dhadli Live In New Plymouth","Taranaki Indian Association","","2025-10-05T04:47:51.145Z","2.02","1.6","60","0",""
"EV17596426463926M1G3G","Phase One","1","27","0.73","0.5","0","0","0","28.23","expired","expired","Pakka Local NZ First Anniversary  SIX EIGHT LIVE","PakkaLocal NZ","","2025-10-05T05:37:26.425Z","1.06","0.17","27","0",""
"EV1759647414016NDF7AB","General Admission","2","59.98","1.62","1","0","0","0","62.6","paid","confirmed"," Christchurch Kondattam 2025","Radio Lemon Live New Zealand & Green Estate Digital and Property management","","2025-10-05T06:56:54.048Z","1.99","0.63","59.98","0",""
"EV1759779064622ISZ30V","General Admission","3","117","3.16","1.5","0","0","0","121.66","paid","confirmed","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-06T19:31:04.660Z","3.58","1.08","117","0",""
"EV1759814367078G13AY7","Adult","3","180","4.86","5.4","0","0","0","190.26","paid","confirmed","Moksha With Srinivas ""Sangamam"" New Zealand Tour 2025","Moksha Base & Shelz Media","","2025-10-07T05:19:27.091Z","5.44","4.82","180","0",""
"EV1759865836324N6XRG2","Hamilton Samajam Memeber Special","4","119.96","3.24","2","0","0","0","125.2","paid","confirmed","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-07T19:37:16.356Z","3.68","1.56","119.96","0",""
"EV1759868003779QSCE27","General Admission","1","39","1.05","0.5","0","0","0","40.55","paid","confirmed","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-07T20:13:23.814Z","1.39","0.16","39","0",""
"EV17598682620617X1WGU","Family Pack ","9","204","5.51","4.5","0","0","0","214.01","paid","confirmed"," Christchurch Kondattam 2025","Radio Lemon Live New Zealand & Green Estate Digital and Property management","","2025-10-07T20:17:42.066Z","6.08","3.93","204","0",""
"EV1759868665168UZS2SW","ATMA Inc Tauranga Member Special","4","109.98","2.97","2","0","0","0","114.95","paid","confirmed","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-07T20:24:25.196Z","3.4","1.57","109.98","0",""
"EV1759872212447K17Q3W","Partner’s Special","2","50","1.35","1","0","0","0","52.35","paid","confirmed"," Christchurch Kondattam 2025","Radio Lemon Live New Zealand & Green Estate Digital and Property management","","2025-10-07T21:23:32.484Z","1.71","0.64","50","0",""
"EV1759895243936G1HAVC","General Admission","4","103","2.78","2","0","0","0","107.78","expired","expired","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-08T03:47:23.976Z","3.21","1.57","103","0",""
"EV1759911621949WBAKPP","General Admission","3","45","1.22","1.5","0","0","0","47.72","expired","expired","Kaka & Simran Dhadli Live In New Plymouth","Taranaki Indian Association","","2025-10-08T08:20:21.960Z","1.59","1.13","45","0",""
"EV1759913116283LSIO5S","General Admission","1","15","0.41","0.5","0","0","0","15.91","paid","confirmed","Kaka & Simran Dhadli Live In New Plymouth","Taranaki Indian Association","","2025-10-08T08:45:16.293Z","0.73","0.18","15","0",""
"EV17599210441120AFX1Q","Family Pack ","4","79","2.13","2","0","0","0","83.13","failed","failed"," Christchurch Kondattam 2025","Radio Lemon Live New Zealand & Green Estate Digital and Property management","","2025-10-08T10:57:24.149Z","2.54","1.59","79","0",""
"EV1759969737154AMTMFI","Child","4","225","6.08","7.2","0","0","0","238.28","expired","expired","Moksha With Srinivas ""Sangamam"" New Zealand Tour 2025","Moksha Base & Shelz Media","","2025-10-09T00:28:57.198Z","6.73","6.55","225","0",""
"EV1759969775988URNG77","Child","4","225","6.08","7.2","0","0","0","238.28","paid","confirmed","Moksha With Srinivas ""Sangamam"" New Zealand Tour 2025","Moksha Base & Shelz Media","","2025-10-09T00:29:35.998Z","6.73","6.55","225","0",""
"EV1759987685067ACUQ11","Hamilton Samajam Memeber Special","3","89.97","2.43","1.5","0","0","0","93.9","expired","expired","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-09T05:28:05.108Z","2.84","1.09","89.97","0",""
"EV17599876859853NE20T","Hamilton Samajam Memeber Special","3","89.97","2.43","1.5","0","0","0","93.9","expired","expired","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-09T05:28:05.991Z","2.84","1.09","89.97","0",""
"EV175998782287345WHDK","Hamilton Samajam Memeber Special","3","89.97","2.43","1.5","0","0","0","93.9","paid","confirmed","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-09T05:30:22.879Z","2.84","1.09","89.97","0",""
"EV1759990599831FK40KS","General Admission","4","103","2.78","2","0","0","0","107.78","paid","confirmed","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-09T06:16:39.845Z","3.21","1.57","103","0",""
"EV17599909546409Z7PLE","General Admission","3","45","1.22","1.5","0","0","0","47.72","paid","confirmed","Kaka & Simran Dhadli Live In New Plymouth","Taranaki Indian Association","","2025-10-09T06:22:34.678Z","1.59","1.13","45","0",""
"EV1759995729340RM0VOX","General Admission","3","45","1.22","1.5","0","0","0","47.72","paid","confirmed","Kaka & Simran Dhadli Live In New Plymouth","Taranaki Indian Association","","2025-10-09T07:42:09.353Z","1.59","1.13","45","0",""
"EV17599965372216YW6PP","VIP tickets","1","50","1.35","0.5","0","0","0","51.85","paid","confirmed","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-09T07:55:37.267Z","1.7","0.15","50","0",""
"EV1759996574324NWCPXX","General Admission","2","30","0.81","1","0","0","0","31.81","paid","confirmed","Kaka & Simran Dhadli Live In New Plymouth","Taranaki Indian Association","","2025-10-09T07:56:14.364Z","1.16","0.65","30","0",""
"EV1759999961608UXKR74","Family Pack ","4","79","2.13","2","0","0","0","83.13","expired","expired"," Christchurch Kondattam 2025","Radio Lemon Live New Zealand & Green Estate Digital and Property management","","2025-10-09T08:52:41.618Z","2.54","1.59","79","0",""
"EV1759999987613XB14AF","Family Pack ","4","79","2.13","2","0","0","0","83.13","expired","expired"," Christchurch Kondattam 2025","Radio Lemon Live New Zealand & Green Estate Digital and Property management","","2025-10-09T08:53:07.636Z","2.54","1.59","79","0",""
"EV175999999396583D6IC","Family Pack ","4","79","2.13","2","0","0","0","83.13","expired","expired"," Christchurch Kondattam 2025","Radio Lemon Live New Zealand & Green Estate Digital and Property management","","2025-10-09T08:53:13.971Z","2.54","1.59","79","0",""
"EV17599999983828SHASJ","Family Pack ","4","79","2.13","2","0","0","0","83.13","expired","expired"," Christchurch Kondattam 2025","Radio Lemon Live New Zealand & Green Estate Digital and Property management","","2025-10-09T08:53:18.387Z","2.54","1.59","79","0",""
"EV1760000010552CZ7YTL","Family Pack ","4","79","2.13","2","0","0","0","83.13","expired","expired"," Christchurch Kondattam 2025","Radio Lemon Live New Zealand & Green Estate Digital and Property management","","2025-10-09T08:53:30.560Z","2.54","1.59","79","0",""
"EV1760000012116QBQFI0","Family Pack ","4","79","2.13","2","0","0","0","83.13","expired","expired"," Christchurch Kondattam 2025","Radio Lemon Live New Zealand & Green Estate Digital and Property management","","2025-10-09T08:53:32.120Z","2.54","1.59","79","0",""
"EV17600000128929NMMNZ","Family Pack ","4","79","2.13","2","0","0","0","83.13","",""," Christchurch Kondattam 2025","Radio Lemon Live New Zealand & Green Estate Digital and Property management","","2025-10-09T08:53:32.896Z","2.54","1.59","79","0",""
"EV17600000301265E8XCR","Family Pack ","4","79","2.13","2","0","0","0","83.13","expired","expired"," Christchurch Kondattam 2025","Radio Lemon Live New Zealand & Green Estate Digital and Property management","","2025-10-09T08:53:50.194Z","2.54","1.59","79","0",""
"EV1760000050264B5GMQQ","Family Pack ","4","79","2.13","2","0","0","0","83.13","expired","expired"," Christchurch Kondattam 2025","Radio Lemon Live New Zealand & Green Estate Digital and Property management","","2025-10-09T08:54:10.317Z","2.54","1.59","79","0",""
"EV1760000201219DQMBT2","Family Pack ","4","79","2.13","2","0","0","0","83.13","expired","expired"," Christchurch Kondattam 2025","Radio Lemon Live New Zealand & Green Estate Digital and Property management","","2025-10-09T08:56:41.263Z","2.54","1.59","79","0",""
"EV1760039721631PKIG47","Hamilton Samajam Memeber Special","4","104.99","2.83","2","0","0","0","109.82","paid","confirmed","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-09T19:55:21.680Z","3.27","1.56","104.99","0",""
"EV1760039723035Z1O8BI","Hamilton Samajam Memeber Special","4","104.99","2.83","2","0","0","0","109.82","expired","expired","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-09T19:55:23.041Z","3.27","1.56","104.99","0",""
"EV1760053097353RJ12TW","General Admission","3","45","1.22","1.5","0","0","0","47.72","paid","confirmed","Kaka & Simran Dhadli Live In New Plymouth","Taranaki Indian Association","","2025-10-09T23:38:17.360Z","1.59","1.13","45","0",""
"EV17600609412558WAA6X","Family Pack ","4","79","2.13","2","0","0","0","83.13","paid","confirmed"," Christchurch Kondattam 2025","Radio Lemon Live New Zealand & Green Estate Digital and Property management","","2025-10-10T01:49:01.265Z","2.54","1.59","79","0",""
"EV1760065491770LJT5Z9","General Admission","1","15","0.41","0.5","0","0","0","15.91","expired","expired","Kaka & Simran Dhadli Live In New Plymouth","Taranaki Indian Association","","2025-10-10T03:04:51.777Z","0.73","0.18","15","0",""
"EV1760065805136AV8JY3","Early Bird","1","24","0.65","0.5","0","0","0","25.15","paid","confirmed","Pakka Local NZ First Anniversary  SIX EIGHT LIVE","PakkaLocal NZ","","2025-10-10T03:10:05.141Z","0.98","0.17","24","0",""
"EV1760081652777FPB4YL","General Admission","2","30","0.81","1","0","0","0","31.81","paid","confirmed","Kaka & Simran Dhadli Live In New Plymouth","Taranaki Indian Association","","2025-10-10T07:34:12.805Z","1.16","0.65","30","0",""
"EV17600848600223IVKNL","General Admission","2","30","0.81","1","0","0","0","31.81","paid","confirmed","Kaka & Simran Dhadli Live In New Plymouth","Taranaki Indian Association","","2025-10-10T08:27:40.032Z","1.16","0.65","30","0",""
"EV1760125933210QEZTYP","General Admission","1","15","0.41","0.5","0","0","0","15.91","paid","confirmed","Kaka & Simran Dhadli Live In New Plymouth","Taranaki Indian Association","","2025-10-10T19:52:13.231Z","0.73","0.18","15","0",""
"EV1760150689541HCEYJD","General Admission","1","15","0.41","0.5","0","0","0","15.91","failed","failed","Kaka & Simran Dhadli Live In New Plymouth","Taranaki Indian Association","","2025-10-11T02:44:49.550Z","0.73","0.18","15","0",""
"EV1760152325751ZXE71S","General Admission","1","15","0.41","0.5","0","0","0","15.91","paid","confirmed","Kaka & Simran Dhadli Live In New Plymouth","Taranaki Indian Association","","2025-10-11T03:12:05.762Z","0.73","0.18","15","0",""
"EV1760168845009R8WZWY","General Admission","2","30","0.81","1","0","0","0","31.81","paid","confirmed","Kaka & Simran Dhadli Live In New Plymouth","Taranaki Indian Association","","2025-10-11T07:47:25.039Z","1.16","0.65","30","0",""
"EV1760170453986TH99XE","General Admission","2","30","0.81","1","0","0","0","31.81","expired","expired","Kaka & Simran Dhadli Live In New Plymouth","Taranaki Indian Association","","2025-10-11T08:14:13.997Z","1.16","0.65","30","0",""
"EV1760170456398JOSUA0","General Admission","2","30","0.81","1","0","0","0","31.81","paid","confirmed","Kaka & Simran Dhadli Live In New Plymouth","Taranaki Indian Association","","2025-10-11T08:14:16.404Z","1.16","0.65","30","0",""
"EV1760174270210FZDYEE","Student","1","25","0.68","0.5","0","0","2.5","23.68","paid","confirmed","Pakka Local NZ First Anniversary  SIX EIGHT LIVE","PakkaLocal NZ","","2025-10-11T09:17:50.215Z","0.94","0.24","22.5","0",""
"EV1760244229416INYMYK","Hamilton Samajam Memeber Special","3","89.97","2.43","1.5","0","0","0","93.9","paid","confirmed","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-12T04:43:49.457Z","2.84","1.09","89.97","0",""
"EV1760244765301JHFTWA","Hamilton Samajam Memeber Special","4","84.98","2.29","2","0","0","0","89.27","paid","confirmed","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-12T04:52:45.338Z","2.71","1.58","84.98","0",""
"EV1760256951761LUTANI","Kids 3 to 13","4","84.98","2.29","2","0","0","0","89.27","paid","confirmed","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-12T08:15:51.794Z","2.71","1.58","84.98","0",""
"EV1760313638624O5WMWO","Partner’s Special","3","79.99","2.16","1.5","0","0","0","83.65","paid","confirmed"," Christchurch Kondattam 2025","Radio Lemon Live New Zealand & Green Estate Digital and Property management","","2025-10-13T00:00:38.659Z","2.56","1.1","79.99","0",""
"EV1760323227984O3EUPQ","Students Special ","1","22","0.59","0.5","0","0","0","23.09","expired","expired"," Christchurch Kondattam 2025","Radio Lemon Live New Zealand & Green Estate Digital and Property management","","2025-10-13T02:40:28.020Z","0.92","0.17","22","0",""
"EV1760411373984SOIKAI","Student","1","25","0.68","0.5","0","0","0","26.18","expired","expired","Pakka Local NZ First Anniversary  SIX EIGHT LIVE","PakkaLocal NZ","","2025-10-14T03:09:34.036Z","1.01","0.17","25","0",""
"EV17604250569341IASA5","General Admission","3","89","2.4","1.5","0","0","0","92.9","expired","expired","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-14T06:57:36.947Z","2.81","1.09","89","0",""
"EV1760425063414L8AG94","General Admission","3","89","2.4","1.5","0","0","0","92.9","expired","expired","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-14T06:57:43.419Z","2.81","1.09","89","0",""
"EV1760425076269A0V5NP","General Admission","3","89","2.4","1.5","0","0","0","92.9","expired","expired","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-14T06:57:56.278Z","2.81","1.09","89","0",""
"EV1760425079137V3ILN0","General Admission","3","89","2.4","1.5","0","0","0","92.9","expired","expired","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-14T06:57:59.143Z","2.81","1.09","89","0",""
"EV1760425081083CVEPBU","General Admission","3","89","2.4","1.5","0","0","0","92.9","expired","expired","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-14T06:58:01.088Z","2.81","1.09","89","0",""
"EV1760425082818RR64KG","General Admission","3","89","2.4","1.5","0","0","0","92.9","","","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-14T06:58:02.821Z","2.81","1.09","89","0",""
"EV1760425130391U6Y4LT","General Admission","3","89","2.4","1.5","0","0","0","92.9","expired","expired","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-14T06:58:50.431Z","2.81","1.09","89","0",""
"EV17604251323033BVDAQ","General Admission","3","89","2.4","1.5","0","0","0","92.9","expired","expired","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-14T06:58:52.313Z","2.81","1.09","89","0",""
"EV176042513725099G3WR","General Admission","3","89","2.4","1.5","0","0","0","92.9","expired","expired","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-14T06:58:57.256Z","2.81","1.09","89","0",""
"EV1760425139124FYRWE9","General Admission","3","89","2.4","1.5","0","0","0","92.9","expired","expired","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-14T06:58:59.132Z","2.81","1.09","89","0",""
"EV17604251404758W0CKU","General Admission","3","89","2.4","1.5","0","0","0","92.9","expired","expired","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-14T06:59:00.480Z","2.81","1.09","89","0",""
"EV1760425143233IYXOF7","General Admission","3","89","2.4","1.5","0","0","0","92.9","expired","expired","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-14T06:59:03.236Z","2.81","1.09","89","0",""
"EV1760425287266T2P02Q","General Admission","3","89","2.4","1.5","0","0","0","92.9","paid","confirmed","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-14T07:01:27.280Z","2.81","1.09","89","0",""
"EV17604290238534G84E7","Adult","2","120","3.24","3.6","0","0","0","126.84","paid","confirmed","Moksha With Srinivas ""Sangamam"" New Zealand Tour 2025","Moksha Base & Shelz Media","","2025-10-14T08:03:43.861Z","3.72","3.12","120","0",""
"EV1760478418977YFACO4","Hamilton Samajam Memeber Special","1","29.99","0.81","0.5","0","0","0","31.3","paid","confirmed","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-14T21:46:59.014Z","1.15","0.16","29.99","0",""
"EV1760479352982YF5BKS","Hamilton Samajam Memeber Special","3","84.98","2.29","1.5","0","0","0","88.77","paid","confirmed","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-14T22:02:33.018Z","2.7","1.09","84.98","0",""
"EV1760480985259O3CV73","Student","1","25","0.68","0.5","0","0","0","26.18","expired","expired","Pakka Local NZ First Anniversary  SIX EIGHT LIVE","PakkaLocal NZ","","2025-10-14T22:29:45.284Z","1.01","0.17","25","0",""
"EV17604811502018RV0PF","Student","1","25","0.68","0.5","0","0","0","26.18","paid","confirmed","Pakka Local NZ First Anniversary  SIX EIGHT LIVE","PakkaLocal NZ","","2025-10-14T22:32:30.232Z","1.01","0.17","25","0",""
"EV17604854979055I8B3N","Students Special ","2","44","1.19","1","0","0","0","46.19","paid","confirmed"," Christchurch Kondattam 2025","Radio Lemon Live New Zealand & Green Estate Digital and Property management","","2025-10-14T23:44:57.932Z","1.55","0.64","44","0",""
"EV1760487560015TLQJAR","Hamilton Samajam Memeber Special","1","29.99","0.81","0.5","0","0","0","31.3","expired","expired","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-15T00:19:20.056Z","1.15","0.16","29.99","0",""
"EV17605649530207VCIO5","Hamilton Samajam Memeber Special","1","29.99","0.81","0.5","0","0","0","31.3","failed","failed","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-15T21:49:13.045Z","1.15","0.16","29.99","0",""
"EV1760566418271JJMKEC","Hamilton Samajam Memeber Special","1","29.99","0.81","0.5","0","0","0","31.3","paid","confirmed","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-15T22:13:38.313Z","1.15","0.16","29.99","0",""
"EV1760575833975HKAREQ","Hamilton Samajam Memeber Special","1","29.99","0.81","0.5","0","0","0","31.3","paid","confirmed","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-16T00:50:34.003Z","1.15","0.16","29.99","0",""
"EV1760579134671BKDLC6","Group Ticket","5","125","4.1","3","0","0","0","159.1","paid","confirmed","Pakka Local NZ First Anniversary  SIX EIGHT LIVE","PakkaLocal NZ","","2025-10-16T01:45:34.709Z","4.6","2.5","152","0",""
"EV1760579134671BKDLC6-5","Phase One","1","27","0","0","0","0","0","0","paid","confirmed","Pakka Local NZ First Anniversary  SIX EIGHT LIVE","PakkaLocal NZ","","2025-10-16T01:45:34.726Z","0","0","0","0",""
"EV1760586704535ZOUVPY","Adult","2","80","2.16","3.6","0","0","0","85.76","expired","expired","Moksha With Srinivas ""Sangamam"" New Zealand Tour 2025","Moksha Base & Shelz Media","","2025-10-16T03:51:44.571Z","2.62","3.14","80","0",""
"EV1760586897091KWQQZ9","Adult","2","80","2.16","3.6","0","0","0","85.76","paid","confirmed","Moksha With Srinivas ""Sangamam"" New Zealand Tour 2025","Moksha Base & Shelz Media","","2025-10-16T03:54:57.114Z","2.62","3.14","80","0",""
"EV1760658472237ZOL1AB","Couple Entry","2","52","1.4","1","0","0","0","54.4","expired","expired","Pakka Local NZ First Anniversary  SIX EIGHT LIVE","PakkaLocal NZ","","2025-10-16T23:47:52.282Z","1.77","0.63","52","0",""
"EV1760658590794V2Z0CR","Couple Entry","2","52","1.4","1","0","0","0","54.4","paid","confirmed","Pakka Local NZ First Anniversary  SIX EIGHT LIVE","PakkaLocal NZ","","2025-10-16T23:49:50.818Z","1.77","0.63","52","0",""
"EV1760684438265FMA9UH","General Admission","3","89.97","2.43","1.5","0","0","0","93.9","paid","confirmed"," Christchurch Kondattam 2025","Radio Lemon Live New Zealand & Green Estate Digital and Property management","","2025-10-17T07:00:38.305Z","2.84","1.09","89.97","0",""
"EV17606927061756WVM5G","Hamilton Samajam Memeber Special","1","29.99","0.81","0.5","0","0","0","31.3","expired","expired","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-17T09:18:26.211Z","1.15","0.16","29.99","0",""
"EV17607490601052SBBZ5","Hamilton Samajam Memeber Special","2","59.98","1.62","1","0","0","0","62.6","paid","confirmed","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-18T00:57:40.130Z","1.99","0.63","59.98","0",""
"EV176075933976471W3DA","Hamilton Samajam Memeber Special","1","29.99","0.81","0.5","0","0","0","31.3","expired","expired","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-18T03:48:59.800Z","1.15","0.16","29.99","0",""
"EV1760818069408DRR98A","Family Pack ","5","89","2.4","2.5","0","0","0","93.9","paid","confirmed"," Christchurch Kondattam 2025","Radio Lemon Live New Zealand & Green Estate Digital and Property management","","2025-10-18T20:07:49.449Z","2.84","2.06","89","0",""
"EV1760825096602N35W0Y","Hamilton Samajam Memeber Special","5","144.96","3.91","2.5","0","0","0","151.37","paid","confirmed","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-18T22:04:56.642Z","4.39","2.02","144.96","0",""
"EV1760831620387EA4BBA","Hamilton Samajam Memeber Special","1","29.99","0.81","0.5","0","0","0","31.3","failed","failed","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-18T23:53:40.429Z","1.15","0.16","29.99","0",""
"EV1760831655749KTV75C","Hamilton Samajam Memeber Special","1","29.99","0.81","0.5","0","0","0","31.3","paid","confirmed","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-18T23:54:15.793Z","1.15","0.16","29.99","0",""
"EV1760844280921W97YAX","Hamilton Samajam Memeber Special","4","84.98","2.29","2","0","0","0","89.27","paid","confirmed","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-19T03:24:40.957Z","2.71","1.58","84.98","0",""
"EV1760846533141U1VRJY","General Admission","1","39","1.05","0.5","0","0","0","40.55","paid","confirmed","Hamilton Kondattam  2025","Radio Lemon Live New Zealand & Green Estate Digital Marketing and Property Management Limited","","2025-10-19T04:02:13.171Z","1.39","0.16","39","0",""
"EV1760847980835KD8UD3","Partner’s Special","2","50","1.35","1","0","0","0","52.35","paid","confirmed"," Christchurch Kondattam 2025","Radio Lemon Live New Zealand & Green Estate Digital and Property management","","2025-10-19T04:26:20.864Z","1.71","0.64","50","0",""
"EV1760861841720DPNHZV","Adult","4","160","4.32","7.2","0","0","0","171.52","expired","expired","Moksha With Srinivas ""Sangamam"" New Zealand Tour 2025","Moksha Base & Shelz Media","","2025-10-19T08:17:21.750Z","4.93","6.59","160","0",""
